Nb matchs,Temps moyen de jeu en minutes,Points moyens marques,Nb tirs reussis,Nb tirs essais,Nb 3 points reussis,Nb 3 points essais,Nb lances francs reussis,Nb lances francs essais,Nb rebonds offensifs,Nb rebonds defensifs,Nb passes decisives,Nb interceptions,Nb contres ,Nb pertes balle,Carriere superieure 5ans
62.0,15.8,3.9,1.5,3.4,0.0,0.0,0.9,1.3,0.6,1.7,0.9,0.7,0.2,0.9,0.0
46.0,14.9,3.1,1.1,3.2,0.2,0.8,0.8,0.8,0.3,1.0,1.9,0.5,0.0,0.6,1.0
60.0,8.7,3.0,0.9,2.1,0.0,0.2,0.8,1.3,0.2,1.0,1.8,0.6,0.0,0.7,0.0
66.0,10.5,3.7,1.4,3.6,0.1,0.1,1.1,1.3,0.6,1.1,0.4,0.3,0.1,0.7,0.0
54.0,19.7,6.1,2.4,5.4,0.0,0.5,1.2,1.7,0.5,1.0,1.9,0.7,0.2,1.2,1.0
63.0,20.1,5.5,2.4,4.9,0.0,0.2,0.2,0.7,1.5,3.4,0.6,0.8,0.4,0.9,0.0
81.0,13.7,6.6,2.3,5.2,0.0,0.2,1.2,2.1,1.8,2.5,0.4,0.6,1.0,1.2,1.0
81.0,21.9,5.8,2.4,5.1,0.0,0.2,1.1,1.2,3.6,3.8,1.3,0.7,0.4,1.2,1.0
81.0,28.1,14.7,6.4,12.3,0.0,0.0,1.9,2.9,2.6,4.9,0.9,0.2,0.6,2.1,1.0
36.0,7.7,2.6,1.0,2.9,0.3,0.6,0.2,0.3,0.3,0.6,0.4,0.4,0.2,0.5,0.0
80.0,30.8,9.1,3.3,7.2,0.0,0.1,2.6,3.2,0.8,2.1,8.1,2.5,0.2,2.5,1.0
82.0,36.7,16.4,6.2,14.4,2.1,5.0,2.2,2.9,1.6,2.5,3.1,2.0,0.3,1.5,1.0
77.0,18.3,4.5,1.5,3.6,0.1,0.0,1.5,2.2,1.8,2.2,1.2,0.5,0.4,0.7,1.0
45.0,10.4,3.8,1.7,3.9,0.0,0.4,0.1,0.5,0.2,1.1,2.0,0.5,0.0,1.0,0.0
80.0,16.6,7.6,2.7,6.1,0.1,0.8,1.8,2.3,1.0,1.6,0.7,0.2,0.3,1.4,0.0
